,value
CAGR,0.03249313805506193
annualized_volatility,0.07198718459234818
Sharpe_ratio,0.4802053804780311
Sortino_ratio,0.6697108143216448
max_drawdown,-0.13408327355409067
beta_to_benchmark,0.0748755181476948
tracking_error,0.19897262884456898
information_ratio,-0.5855263971713445
percentage_negative_weeks,0.40115163147792704
worst_weekly_return,-0.04085817786416335
